date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:10	19032/19032	---MCZ	200	added ('OK')	application/javascript	etag:W/%224a58-58b5c5abad8c0-gzip%22	https://preview.colorlib.com/theme/mediplus/js/popper.min.js	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/js/popper.min.js	(from https://preview.colorlib.com/theme/mediplus/)
10:10:11	8111/8111	---MCZ	200	added ('OK')	application/javascript	etag:W/%221faf-58b5c5a7dcfc0-gzip%22	https://preview.colorlib.com/theme/mediplus/js/jquery.easing.1.3.js	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/js/jquery.easing.1.3.js	(from https://preview.colorlib.com/theme/mediplus/)
10:10:11	55775/55775	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d9df-58b5c5a5f4b40-gzip%22	https://preview.colorlib.com/theme/mediplus/js/bootstrap.min.js	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/mediplus/)
10:10:11	8835/8835	---MCZ	200	added ('OK')	application/javascript	etag:W/%222283-58b5c5aab9680-gzip%22	https://preview.colorlib.com/theme/mediplus/js/jquery.waypoints.min.js	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/js/jquery.waypoints.min.js	(from https://preview.colorlib.com/theme/mediplus/)
10:10:11	12597/12597	---MCZ	200	added ('OK')	application/javascript	etag:W/%223135-58b5c5a9c5440-gzip%22	https://preview.colorlib.com/theme/mediplus/js/jquery.stellar.min.js	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/js/jquery.stellar.min.js	(from https://preview.colorlib.com/theme/mediplus/)
10:10:12	43237/43237	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a8e5-58b5c5abad8c0-gzip%22	https://preview.colorlib.com/theme/mediplus/js/owl.carousel.min.js	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/js/owl.carousel.min.js	(from https://preview.colorlib.com/theme/mediplus/)
10:10:12	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%224ef8-58b5c5a8d1200-gzip%22	https://preview.colorlib.com/theme/mediplus/js/jquery.magnific-popup.min.js	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/js/jquery.magnific-popup.min.js	(from https://preview.colorlib.com/theme/mediplus/)
10:10:13	14244/14244	---MCZ	200	added ('OK')	application/javascript	etag:W/%2237a4-58b5c5a500900-gzip%22	https://preview.colorlib.com/theme/mediplus/js/aos.js	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/js/aos.js	(from https://preview.colorlib.com/theme/mediplus/)
10:10:13	1391/1391	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256f-58b5c5a7dcfc0-gzip%22	https://preview.colorlib.com/theme/mediplus/js/jquery.animateNumber.min.js	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/js/jquery.animateNumber.min.js	(from https://preview.colorlib.com/theme/mediplus/)
10:10:14	7447/7447	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d17-58b5c5aca1b00-gzip%22	https://preview.colorlib.com/theme/mediplus/js/scrollax.min.js	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/js/scrollax.min.js	(from https://preview.colorlib.com/theme/mediplus/)
10:10:14	1946/1946	---MCZ	200	added ('OK')	application/javascript	etag:W/%2279a-58b5c5a5f4b40-gzip%22	https://preview.colorlib.com/theme/mediplus/js/google-map.js	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/js/google-map.js	(from https://preview.colorlib.com/theme/mediplus/)
10:10:15	6877/6877	---MCZ	200	added ('OK')	application/javascript	etag:W/%221add-58b5c5aab9680-gzip%22	https://preview.colorlib.com/theme/mediplus/js/main.js	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/js/main.js	(from https://preview.colorlib.com/theme/mediplus/)
10:10:15	28196/28196	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226e24-58b5c5cc1a540%22	https://preview.colorlib.com/theme/mediplus/fonts/open-iconic/open-iconic.eot	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/open-iconic/open-iconic.eot	(from https://preview.colorlib.com/theme/mediplus/css/open-iconic-bootstrap.min.css)
10:10:15	28196/28196	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226e24-58b5c5cc1a540%22	https://preview.colorlib.com/theme/mediplus/fonts/open-iconic/open-iconic.eot?	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/open-iconic/open-iconicd41d.eot	(from https://preview.colorlib.com/theme/mediplus/css/open-iconic-bootstrap.min.css)
10:10:16	14984/14984	---M--	200	added ('OK')	font/woff	etag:%223a88-58b5c5ce029c0%22	https://preview.colorlib.com/theme/mediplus/fonts/open-iconic/open-iconic.woff	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/open-iconic/open-iconic.woff	(from https://preview.colorlib.com/theme/mediplus/css/open-iconic-bootstrap.min.css)
10:10:16	28028/28028	---MCZ	200	added ('OK')	font/ttf	etag:W/%226d7c-58b5c5ce029c0%22	https://preview.colorlib.com/theme/mediplus/fonts/open-iconic/open-iconic.ttf	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/open-iconic/open-iconic.ttf	(from https://preview.colorlib.com/theme/mediplus/css/open-iconic-bootstrap.min.css)
10:10:16	20996/20996	---MCZ	200	added ('OK')	font/ttf	etag:W/%225204-58b5c5cc1a540%22	https://preview.colorlib.com/theme/mediplus/fonts/open-iconic/open-iconic.otf	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/open-iconic/open-iconic.otf	(from https://preview.colorlib.com/theme/mediplus/css/open-iconic-bootstrap.min.css)
10:10:17	54789/54789	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d605-58b5c5cd0e780%22	https://preview.colorlib.com/theme/mediplus/fonts/open-iconic/open-iconic.svg	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/open-iconic/open-iconic.svg	(from https://preview.colorlib.com/theme/mediplus/css/open-iconic-bootstrap.min.css)
10:10:17	2358/2358	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Dec%202022%2007:10:17%20GMT	https://preview.colorlib.com/theme/mediplus/css/owl.video.play.png	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/css/owl.video.play.png	(from https://preview.colorlib.com/theme/mediplus/css/owl.carousel.min.css)
